w_code	w_name	population
30503	Ensaro	67685
30504	Moretna Juru	106312
30505	Menz Gera Meder	117207
30506	Gishe	70437
30507	Antsokiya Gemza	90495
30508	efratana Gidim	126410
30509	Menze Mama Mider	97404
30510	Tarma Ber	98429
30511	Mojana Wedera	80399
30512	Kewet	135417
30513	Angolelana Tera	92860
30514	Asagert	56638
30515	Ankober	87502
30516	Hagere Mariam	63171
30517	Berehet	39824
30518	Minjar Shenkora	147328
30519	Basona Werana	138331
30520	Debrebrehan Town	74629
30521	Menz Keya Geberal	52877
30522	Menz Lalo Meder	41323
30523	Saya Debirna Wayu	68713
30601	Bibugn	92981
30602	Huletej Enese	317311
30603	Gonchasiso Enese	169937
30604	Enebise Sar Midir	154308
30605	Enarj Enawuga	189720
30606	Enemay	189082
30607	Debay Tilatgin	145468
30608	Debere Elias	93991
30609	Machakel	135113
30610	Gozamin	153181
30611	Baso Liben	157317
30612	Awabel	139103
30613	Dejen	117930
30614	Shebel Berenta	118972
30615	Debre Markos Town	71488
30616	Sinan	113195
30617	Aneded	104361
30701	North Achefer	198218
30702	Bahir Dar Zuriya	209049
30703	Yilmana Densa	116344
30704	Mecha	334443
30705	Sekela	158670
30706	Quarit	131307
30707	Dega Damot	172939
30708	Dembecha	147885
30709	Jebitenan	204441
30710	Bure	115970
30711	Wenberma	245869
30712	Gonji Kolela	122054
30713	South Achefer	178365
30714	Finote Selam Town	29053
30801	ZIKWALA	50311
30802	Sekota	128055
30803	Dehena	125523
30804	GAZGIBILA	81059
30805	Abergele	49404
30806	Sihale Seyemt	27100
30807	Sekota Town	154149
30901	Dengila	180113
30902	Banja Shekudad	128117
30903	Ankasha Guagusa	228627
30904	Guangua	255223
30905	Fagita Lekoma	144600
30906	Jawi	90492
30907	Guagusa Shekudad	96020
31001	Dawa Chefa	152612
31002	Bati	122840
31003	Jile Timuga	83384
31004	Artuma Fursi	97858
31005	Dewe Harewa	47324
31006	Kemise Town	22218
31101	Bahir Dar Liyu	252156
31201	Argoba	40561
40101	Mene Sibu	155277
40102	Nejo	131657
40103	Gimbi	92623
40104	Lalo Asabi	95541
40105	kILTU KARA	64496
40106	Boji Dermeji	54378
40107	Guliso	87979
40108	Jarso	60290
40109	Kundala	120896
40110	Boji Cheqorsa	60759
40111	Babo Gembel	74945
40112	Yubdo	48547
40113	GENJI	75687
40114	Haru	88173
40115	NOLE KABA	76230
